Player,Expected R/G (Based on Regular Season),Actual R/G Postseason,R/G Variance 
Corey Seager,0.94,1.06,0.12
Adolis Garcia,0.78,0.73,-0.05
Yordan Alvarez,0.82,1.09,0.27
Ketel Marte,0.76,0.35,-0.41
Corbin Carroll,0.70,0.65,-0.05
Bryce Harper,0.69,1.08,0.39
Evan Carter,0.69,0.53,-0.16
Christian Walker,0.69,0.41,-0.28
Trea Turner,0.65,0.69,0.05
Kyle Schwarber,0.67,0.69,0.03
Gabriel Moreno,0.64,0.35,-0.28
Geraldo Perdomo,0.63,0.59,-0.04
Marcus Semien,0.60,0.71,0.11
Nathaniel Lowe,0.60,0.59,-0.01
Jonah Heim,0.65,0.29,-0.36
Jose Abreu,0.63,0.55,-0.08
Jose Altuve,0.61,1.00,0.39
Tommy Pham,0.77,0.63,-0.15
Josh Jung,0.56,0.76,0.20
Lourdes Gurriel Jr.,0.57,0.29,-0.28
Leody Taveras,0.58,0.47,-0.11
Nick Castellanos,0.58,0.54,-0.05
Alek Thomas,0.58,0.53,-0.05
Alex Bregman,0.69,0.91,0.22
Bryson Stott,0.62,0.38,-0.23
Brandon Marsh,0.72,0.17,-0.56
J.T. Realmuto,0.56,0.54,-0.02
Alec Bohm,0.50,0.38,-0.12
Mitch Garver,0.51,0.57,0.06
Royce Lewis,0.51,1.00,0.49
Kyle Tucker,0.58,0.36,-0.22
Chas McCormick,0.50,0.10,-0.40
Edouard Julien,0.49,0.33,-0.16
Carlos Correa,0.62,0.17,-0.45
Jorge Polanco,0.62,0.33,-0.29
Austin Riley,0.51,0.50,-0.01
Evan Longoria,0.56,0.19,-0.37
Jeremy Pena,0.51,0.09,-0.42
Gunnar Henderson,0.52,1.00,0.48
Mauricio Dubon,0.51,0.38,-0.14
Michael Brantley,0.73,0.13,-0.60
Max Kepler,0.46,0.17,-0.30
J.D. Martinez,0.46,0.33,-0.12
Will Smith,0.44,0.33,-0.11
Ronald Acuna Jr.,0.48,0.75,0.27
Anthony Santander,0.52,0.67,0.15
Matt Olson,0.51,0.25,-0.26
Johan Rojas,0.54,0.15,-0.39
Martin Maldonado,0.43,0.18,-0.25
Ozzie Albies,0.44,0.00,-0.44
Pavin Smith,0.46,0.09,-0.37
Emmanuel Rivera,0.39,0.23,-0.16
Austin Hays,0.59,0.33,-0.26
Willi Castro,0.44,0.17,-0.27
Orlando Arcia,0.39,0.00,-0.39
Robbie Grossman,0.47,0.14,-0.33
Ryan Mountcastle,0.59,0.33,-0.26
Max Muncy,0.47,0.67,0.20
Ryan Jeffers,0.34,0.17,-0.17
Marcell Ozuna,0.38,0.25,-0.13
Matt Wallner,0.47,0.20,-0.27
Donovan Solano,0.66,0.20,-0.46
Adley Rutschman,0.33,0.00,-0.33
Alex Kirilloff,0.46,0.00,-0.46
Freddie Freeman,0.33,0.33,0.01
Yainer Diaz,0.34,0.14,-0.20
Michael A. Taylor,0.36,0.20,-0.16
Mookie Betts,0.35,0.33,-0.02
Michael Harris II,0.48,0.00,-0.48
Cedric Mullins,0.20,0.00,-0.20
